Questions,R1,R2,R3,R4,R5,R6,R7,R8,R9,R10,R11,R12,R13,R14,R15,R16,R17,R18,R19,R20,R21,R22,R23,R24,R25,R26,R27,R28,R29,R30,R31,R32,R33,R34,R35,R36,R37,R38,R39,R40,R41,R42,R43,R44,R45,R46,R47,R48,R49,R50,R51,R52,R53,R54,R55,R56,R57,R58,R59,R60,R61,R62,R63,R64,R65,R66,R67,R68,R69,R70,R71,R72,R73,R74,R75,R76,R77,R78,R79,R80,R81,R82,R83,R84,R85,R86,R87,R88,R89,R90,R91,R92,R93,R94,R95,R96,R97,R98,R99,R100,R101,R102,R103,R104,R105,R106,R107,R108,R109,R110,R111,R112,R113,R114,R115,R116,R117,R118,R119,R120,R121,R122,R123,R124,R125,R126,R127,R128,R129,R130,R131,R132,R133,R134,R135,R136,R137,R138,R139,R140,R141,R142,R143,R144,R145,R146,R147,R148,R149,R150,R151,R152,R153,R154,R155,R156,R157,R158,R159,R160,R161,R162,R163,R164,R165,R166,R167,R168,R169,R170,R171,R172,R173,R174,R175,R176,R177,R178,R179,R180,R181,R182,R183,R184,R185,R186,R187,R188,R189,R190,R191,R192,R193,R194,R195,R196,R197,R198,R199,R200,R201,R202,R203,R204,R205,R206,R207,R208,R209,R210
9. How often do you feel safe and happy?,B,C,B,C,B,B,A,B,C,B,B,B,C,C,B,C,C,A,B,B,B,D,B,A,B,C,B,C,D,C,B,B,B,A,B,B,A,A,B,A,A,C,B,A,A,A,A,A,A,A,A,C,A,A,C,B,C,A,B,A,A,C,B,B,A,C,C,A,A,B,A,B,A,B,B,C,A,B,A,B,C,A,A,C,B,A,A,A,B,B,A,B,B,A,B,C,A,B,B,A,B,B,A,A,A,B,B,B,A,B,C,C,C,C,A,B,B,B,B,B,D,B,B,A,C,B,B,A,A,B,A,A,B,C,A,D,A,A,D,A,C,D,A,A,B,B,B,B,A,C,C,B,B,A,C,A,D,B,C,A,A,A,A,A,A,A,B,A,C,B,A,B,A,A,C,A,B,A,B,A,A,B,A,A,B,B,A,A,B,A,A,B,B,B,B,B,B,B,A,A,C,B,C,C,B,A,B,A,B,B
10. Do thoughts ever feel ‘stuck’ in your head?,B,C,B,A,B,D,B,B,A,A,A,C,A,A,A,A,A,B,C,A,D,D,A,C,C,A,B,B,A,A,A,A,D,A,A,C,C,D,A,B,C,A,B,C,B,C,D,B,B,D,C,A,C,D,C,B,C,B,B,A,B,A,B,C,B,B,B,C,C,B,C,A,A,D,A,A,C,B,C,B,A,B,B,B,A,A,B,B,A,B,D,B,B,D,C,A,C,A,B,B,A,B,C,A,A,B,A,B,C,B,A,A,A,A,B,B,C,A,C,D,C,C,B,A,A,B,A,C,C,B,A,B,D,D,A,B,D,B,A,B,B,B,C,D,B,A,B,B,B,A,D,A,C,D,B,B,C,A,B,A,C,B,B,B,B,D,B,B,B,B,B,A,C,C,B,B,B,C,A,B,C,B,C,B,A,A,B,D,C,B,B,A,A,A,A,B,B,C,D,A,B,B,A,A,C,A,B,B,A,A
11. How often do you feel happy or calm in a day?,C,C,B,B,B,A,B,B,D,C,B,B,C,C,B,C,C,B,B,B,B,B,C,B,B,C,B,C,C,C,B,B,C,B,A,B,A,B,B,A,B,C,C,B,A,A,A,B,A,A,B,C,A,A,A,C,C,B,B,B,C,C,B,B,A,C,B,A,B,B,B,B,C,C,C,B,B,C,B,B,B,A,B,C,C,B,C,C,B,B,C,B,B,B,B,C,B,B,C,A,B,B,A,B,C,C,B,B,A,C,D,C,B,B,B,B,C,A,B,B,C,B,B,B,B,A,C,C,A,B,B,A,A,A,B,C,A,A,B,A,B,D,A,C,C,B,C,B,A,B,B,D,B,A,B,A,C,B,C,A,B,A,A,B,B,A,C,A,C,B,B,C,B,B,C,A,B,A,C,A,B,B,A,A,B,B,A,A,B,C,A,C,B,B,A,A,B,A,A,A,C,C,B,B,C,B,C,B,B,C
"12. Do you get headaches, stomachaches, or body pain when stressed?",C,B,D,C,A,D,C,C,A,A,C,C,B,A,A,A,A,B,B,D,B,B,C,D,B,B,D,C,A,A,D,A,D,B,B,C,D,C,A,B,B,A,C,C,C,C,D,B,B,C,C,A,C,D,B,B,C,D,B,A,D,B,C,C,C,A,D,D,C,C,C,C,B,C,C,A,C,B,A,B,C,B,C,C,B,C,A,A,B,C,B,C,A,A,B,B,D,C,C,B,A,C,C,A,A,B,D,C,A,B,A,A,A,A,C,D,B,D,A,A,B,B,B,B,D,D,B,B,D,C,C,D,D,C,B,B,D,B,D,A,C,D,A,D,D,A,B,C,D,C,C,D,C,D,B,C,C,D,C,C,C,C,C,C,B,D,B,D,D,A,C,C,D,D,D,D,D,D,B,D,B,D,D,C,B,D,B,D,B,B,D,D,C,C,D,C,D,B,D,B,C,D,B,A,B,A,A,C,C,D
13. Do you wake up feeling rested?,B,D,B,C,B,B,A,C,C,C,B,C,C,D,B,C,B,A,D,D,B,B,D,C,D,C,C,D,D,B,A,B,B,C,B,A,A,B,A,B,B,B,C,A,A,C,A,B,A,A,A,C,A,C,A,B,C,B,B,B,A,C,B,B,D,D,D,A,B,B,B,A,D,D,C,C,D,C,A,D,B,A,C,B,C,D,A,C,C,C,C,B,B,D,B,D,C,C,B,D,B,A,A,C,C,B,A,B,C,D,C,D,D,D,B,A,A,B,C,C,C,B,A,A,B,D,C,C,D,B,C,B,D,A,A,A,A,A,D,D,B,A,D,D,B,C,C,B,C,D,C,B,D,D,B,B,C,C,C,A,B,B,A,B,B,A,C,A,D,A,B,C,A,C,C,A,B,C,D,A,B,C,B,A,A,D,B,A,A,C,B,A,A,C,C,B,C,A,A,C,B,B,C,C,C,B,A,B,B,A
14. Do you often think something bad might happen?,C,B,B,C,C,D,C,B,A,A,C,B,A,A,B,A,A,B,C,A,B,C,A,C,A,A,B,A,C,B,B,B,D,A,B,C,A,C,B,D,B,C,B,D,D,D,D,C,D,D,D,B,C,C,C,B,D,C,D,A,A,A,C,D,C,C,C,D,A,B,D,B,B,B,A,C,C,B,B,A,A,C,C,B,A,C,B,B,C,A,C,C,B,D,C,A,B,C,B,A,B,C,C,B,A,C,D,A,B,A,A,A,A,A,C,B,B,B,C,D,B,B,C,A,B,B,B,D,D,B,B,D,B,B,C,A,B,D,A,C,D,A,B,B,B,A,B,C,C,A,B,B,C,D,D,C,A,C,D,D,B,C,C,C,C,D,A,D,A,C,C,A,C,C,C,C,B,D,B,C,D,A,B,B,C,C,B,C,C,B,C,B,B,C,B,C,D,D,C,A,A,B,B,B,B,C,B,C,B,A
15. How often do you feel irritated or annoyed?,B,C,B,B,B,D,C,C,B,B,B,C,B,A,A,B,B,B,B,B,B,D,B,C,B,A,C,B,C,B,C,C,B,B,C,C,B,B,C,C,C,A,C,D,C,C,B,C,D,C,C,A,C,D,C,B,B,B,C,C,B,C,C,C,C,B,D,D,B,C,D,C,C,D,B,D,C,B,C,C,C,D,C,A,B,B,B,C,B,B,B,C,A,B,C,B,C,B,B,B,C,A,B,A,A,C,B,B,B,A,A,A,A,A,B,B,B,C,B,B,B,A,C,C,B,C,A,B,C,C,C,C,B,B,B,C,D,B,C,D,C,A,C,A,A,B,A,B,D,B,A,A,B,D,B,C,A,B,C,D,B,D,C,D,B,D,C,B,B,B,C,B,D,C,C,C,C,B,A,C,B,C,C,C,B,A,C,D,D,A,D,B,C,B,B,C,C,C,C,A,B,C,A,A,C,C,B,B,C,C
16. Do you feel like crying without knowing why?,B,D,D,B,A,C,B,C,A,A,B,D,C,A,A,A,B,D,C,A,D,D,A,D,A,A,D,D,A,D,C,C,D,A,D,D,D,C,A,B,D,A,C,D,C,D,D,B,D,D,D,C,D,C,D,C,D,D,D,D,D,D,D,D,D,B,C,D,D,D,D,C,B,D,D,D,C,D,C,A,D,D,D,B,B,D,A,A,B,B,C,C,B,A,C,A,B,D,D,A,A,D,D,C,A,D,C,B,C,A,B,A,A,A,D,A,D,B,B,A,C,C,D,B,A,C,A,D,D,D,C,D,D,D,B,C,D,D,B,D,C,D,B,D,C,A,A,D,D,B,D,D,B,D,B,C,A,D,C,D,D,D,B,B,D,D,D,D,D,A,D,C,D,D,D,D,D,A,D,D,C,D,D,D,D,D,C,D,D,D,D,C,D,D,A,D,B,D,C,A,B,C,B,B,C,D,B,C,A,A
17. Is there anything that used to be fun but doesn’t feel the same now?,A,A,C,A,B,D,C,B,A,A,D,B,B,A,A,A,A,B,A,D,A,A,D,B,A,B,B,B,B,C,B,B,B,A,D,B,C,D,B,B,A,B,C,C,B,D,C,B,C,C,C,A,C,A,C,C,C,C,C,A,D,B,C,C,B,D,B,D,C,B,B,A,D,A,D,A,C,B,B,D,B,C,B,B,A,B,A,B,A,A,A,C,B,B,B,B,C,B,D,A,B,A,C,B,A,D,A,A,B,A,A,B,A,A,A,A,C,A,A,D,A,A,C,C,B,D,A,C,D,B,A,B,B,B,C,A,D,D,A,C,A,A,B,D,C,B,B,C,A,A,B,B,C,D,B,A,A,A,C,B,B,B,C,B,B,D,C,A,B,A,A,D,D,C,A,A,A,D,A,C,A,B,C,D,B,A,C,D,D,D,A,B,B,B,B,B,B,B,D,A,C,B,B,B,B,B,B,C,B,A
18. How long do you sleep at night?,C,B,B,C,B,C,B,C,C,C,D,B,C,D,B,C,C,A,B,B,A,A,B,D,B,C,B,B,B,B,B,B,A,B,B,B,B,B,C,A,B,B,B,B,B,A,A,B,C,B,B,C,B,B,B,B,B,B,B,A,D,C,B,C,A,B,B,A,B,A,B,A,A,B,C,A,B,B,B,C,A,B,B,A,A,B,A,B,A,B,B,B,B,C,B,C,B,B,B,B,B,C,B,A,B,B,A,A,C,C,C,C,D,D,D,C,C,C,B,C,C,B,A,B,B,C,B,A,A,B,B,B,C,B,B,B,C,A,C,A,C,C,A,B,D,B,B,B,C,C,B,B,B,D,B,B,B,A,B,B,A,B,B,A,B,B,B,A,C,A,A,B,A,B,B,A,B,C,C,B,C,B,B,B,B,B,C,A,B,B,B,B,B,A,C,B,B,B,A,C,B,B,A,B,B,B,C,B,B,B
19. How would you describe your quality of sleep?,A,C,C,A,A,A,C,A,C,C,D,A,D,D,B,A,C,A,C,C,A,B,C,C,A,B,A,B,B,B,B,A,C,B,C,A,,A,A,A,A,B,C,A,A,A,A,C,C,A,A,C,A,B,A,A,B,A,B,A,D,C,A,A,A,C,C,A,C,A,B,A,B,C,C,C,A,B,A,D,A,A,C,B,A,A,B,A,A,A,A,B,A,C,A,C,A,B,C,A,C,C,A,A,A,A,C,A,C,C,C,C,D,D,A,A,C,A,C,A,A,A,A,A,C,C,C,A,B,A,B,C,C,A,A,C,A,A,C,C,A,C,A,A,D,A,C,B,A,C,C,C,A,A,B,B,A,A,A,A,A,A,A,A,A,A,C,A,D,A,B,A,A,A,D,A,A,A,B,A,D,C,A,A,A,A,A,A,C,C,C,A,A,C,A,C,A,A,A,C,C,C,C,B,A,C,C,A,A,A
20. What do you do before sleep?,A,A,C,A,C,A,B,A,B,B,A,B,D,A,B,B,A,C,D,A,C,B,A,C,D,D,C,C,A,B,D,B,D,A,A,A,C,A,B,C,A,C,D,B,C,B,D,B,D,C,D,B,C,D,C,D,B,A,A,C,C,C,C,D,A,C,D,D,A,C,C,C,B,A,D,C,A,A,A,A,C,A,D,D,C,D,C,D,D,A,D,B,A,C,A,D,A,A,A,B,B,B,A,B,A,A,C,B,A,C,C,A,C,C,C,C,D,D,A,D,D,A,D,B,B,C,C,C,D,C,C,C,A,D,D,D,A,D,A,D,B,C,D,C,C,C,D,A,C,C,B,A,B,C,C,B,D,C,A,C,C,D,A,A,B,A,A,B,A,C,D,A,D,A,A,B,C,D,A,C,C,A,C,A,A,B,B,C,C,C,C,B,A,B,B,A,C,A,C,B,D,A,A,C,A,D,C,C,C,C
